Open time,Open,High,Low,Close,Volume,fundingRate,instId,instType,markPrice,method,realizedRate,symbol,CCI
2024-12-31 16:00:00+00:00,0.5933,0.5952,0.5889,0.5945,710809,0.0001,,,0.5932,,,MINAUSDT,
2024-12-31 17:00:00+00:00,0.5946,0.5956,0.5774,0.5829,1475004,0.0001,,,0.5932,,,MINAUSDT,
2024-12-31 18:00:00+00:00,0.583,0.5853,0.5787,0.579,801008,,,,,,,,
2024-12-31 19:00:00+00:00,0.579,0.5795,0.5752,0.5782,629708,,,,,,,,
2024-12-31 20:00:00+00:00,0.5781,0.5819,0.5761,0.5778,504499,,,,,,,,
2024-12-31 21:00:00+00:00,0.5775,0.5815,0.5768,0.5795,537571,,,,,,,,
2024-12-31 22:00:00+00:00,0.5794,0.5794,0.5709,0.5728,679676,,,,,,,,
2024-12-31 23:00:00+00:00,0.5726,0.5757,0.5717,0.5741,460316,,,,,,,,
2025-01-01 00:00:00+00:00,0.5742,0.5858,0.5736,0.5857,884063,,,,,,,,
2025-01-01 01:00:00+00:00,0.5857,0.586,0.5757,0.577,375245,0.0001,,,0.5741,,,MINAUSDT,
2025-01-01 02:00:00+00:00,0.5769,0.5813,0.5767,0.5803,322819,,,,,,,,
2025-01-01 03:00:00+00:00,0.5806,0.5808,0.5775,0.5788,189680,,,,,,,,
2025-01-01 04:00:00+00:00,0.5788,0.5791,0.5752,0.5754,255964,,,,,,,,
2025-01-01 05:00:00+00:00,0.5753,0.579,0.575,0.5761,353471,,,,,,,,
2025-01-01 06:00:00+00:00,0.5762,0.5776,0.5732,0.5767,371159,,,,,,,,
2025-01-01 07:00:00+00:00,0.5767,0.5776,0.5747,0.5753,348507,,,,,,,,
2025-01-01 08:00:00+00:00,0.5752,0.5766,0.5682,0.5683,669360,0.0001,,,0.5753,,,MINAUSDT,
2025-01-01 09:00:00+00:00,0.5685,0.5705,0.5639,0.5687,1174118,0.0001,,,0.5753,,,MINAUSDT,
2025-01-01 10:00:00+00:00,0.5689,0.5722,0.5685,0.5703,536713,,,,,,,,
2025-01-01 11:00:00+00:00,0.5703,0.5795,0.5676,0.5758,858520,,,,,,,,
2025-01-01 12:00:00+00:00,0.5757,0.5798,0.5742,0.579,833528,,,,,,,,
2025-01-01 13:00:00+00:00,0.5791,0.5847,0.5776,0.5807,660825,,,,,,,,
2025-01-01 14:00:00+00:00,0.5808,0.5856,0.5759,0.5811,845908,,,,,,,,
2025-01-01 15:00:00+00:00,0.5812,0.5888,0.5779,0.5886,853200,,,,,,,,
2025-01-01 16:00:00+00:00,0.5884,0.5925,0.5843,0.5861,1307742,,,,,,,,
2025-01-01 17:00:00+00:00,0.5861,0.5877,0.5804,0.5866,854325,0.0001,,,0.58859222,,,MINAUSDT,
2025-01-01 18:00:00+00:00,0.5867,0.5939,0.5826,0.5927,997777,,,,,,,,
2025-01-01 19:00:00+00:00,0.5927,0.5999,0.5902,0.5967,991797,,,,,,,,
2025-01-01 20:00:00+00:00,0.5967,0.6001,0.596,0.5992,537882,,,,,,,,
2025-01-01 21:00:00+00:00,0.5991,0.6009,0.5959,0.599,743909,,,,,,,,
2025-01-01 22:00:00+00:00,0.599,0.6024,0.5965,0.6013,544498,,,,,,,,
2025-01-01 23:00:00+00:00,0.6012,0.6028,0.5988,0.6012,834243,,,,,,,,
2025-01-02 00:00:00+00:00,0.6011,0.6118,0.5987,0.6085,2027632,0.0001,,,0.60102843,,,MINAUSDT,
2025-01-02 01:00:00+00:00,0.6086,0.6112,0.6043,0.6046,612647,0.0001,,,0.60102843,,,MINAUSDT,
2025-01-02 02:00:00+00:00,0.6047,0.6092,0.6042,0.6091,417466,,,,,,,,
2025-01-02 03:00:00+00:00,0.6091,0.6102,0.606,0.6071,509276,,,,,,,,
2025-01-02 04:00:00+00:00,0.6071,0.6154,0.6071,0.6136,692340,,,,,,,,
2025-01-02 05:00:00+00:00,0.6137,0.6152,0.609,0.6122,530678,,,,,,,,
2025-01-02 06:00:00+00:00,0.6121,0.6142,0.6073,0.6099,453718,,,,,,,,
2025-01-02 07:00:00+00:00,0.6099,0.6164,0.6097,0.6153,697864,,,,,,,,
2025-01-02 08:00:00+00:00,0.6153,0.6191,0.6128,0.6187,842870,,,,,,,,
2025-01-02 09:00:00+00:00,0.6185,0.6265,0.6173,0.6257,831900,0.0001,,,0.6155669,,,MINAUSDT,
2025-01-02 10:00:00+00:00,0.6258,0.6262,0.6226,0.6236,682018,,,,,,,,
2025-01-02 11:00:00+00:00,0.6239,0.6253,0.6208,0.6238,710032,,,,,,,,
2025-01-02 12:00:00+00:00,0.6238,0.6267,0.621,0.6241,773890,,,,,,,,
2025-01-02 13:00:00+00:00,0.6245,0.6253,0.6195,0.62,1043562,,,,,,,,
2025-01-02 14:00:00+00:00,0.6203,0.6293,0.6149,0.6231,1846479,,,,,,,,
2025-01-02 15:00:00+00:00,0.6233,0.624,0.6153,0.6181,1008878,,,,,,,,
2025-01-02 16:00:00+00:00,0.618,0.6231,0.6153,0.6208,867817,0.0001,,,0.61785504,,,MINAUSDT,
2025-01-02 17:00:00+00:00,0.6209,0.6238,0.6126,0.6168,954140,0.0001,,,0.61785504,,,MINAUSDT,
2025-01-02 18:00:00+00:00,0.6166,0.6203,0.6145,0.6201,558308,,,,,,,,
2025-01-02 19:00:00+00:00,0.6202,0.6205,0.6165,0.6171,695218,,,,,,,,
2025-01-02 20:00:00+00:00,0.6173,0.6203,0.6149,0.6156,453589,,,,,,,,
2025-01-02 21:00:00+00:00,0.616,0.6176,0.613,0.6153,807260,,,,,,,,
2025-01-02 22:00:00+00:00,0.6151,0.6159,0.6076,0.6139,1141260,,,,,,,,
2025-01-02 23:00:00+00:00,0.6139,0.6173,0.6123,0.6156,550641,,,,,,,,
2025-01-03 00:00:00+00:00,0.6157,0.6178,0.6116,0.6121,571651,0.0001,,,0.6156,,,MINAUSDT,
2025-01-03 01:00:00+00:00,0.6122,0.6135,0.6087,0.6129,786116,0.0001,,,0.6156,,,MINAUSDT,
2025-01-03 02:00:00+00:00,0.6131,0.6203,0.6123,0.6149,508380,,,,,,,,6.410980814868135
2025-01-03 03:00:00+00:00,0.6149,0.6211,0.6137,0.6204,336109,,,,,,,,14.26103822682212
2025-01-03 04:00:00+00:00,0.6205,0.6205,0.6133,0.6141,501224,,,,,,,,2.430951016801099
2025-01-03 05:00:00+00:00,0.6142,0.6151,0.6104,0.6124,390106,,,,,,,,-13.568742455476505
2025-01-03 06:00:00+00:00,0.6125,0.6171,0.6119,0.6119,429325,,,,,,,,-10.797538603967672
2025-01-03 07:00:00+00:00,0.6121,0.6128,0.6085,0.6102,534428,,,,,,,,-26.61225473375963
2025-01-03 08:00:00+00:00,0.6102,0.6145,0.6092,0.6129,434144,0.0001,,,0.61020932,,,MINAUSDT,-20.234747189009326
2025-01-03 09:00:00+00:00,0.613,0.6229,0.6128,0.6205,813736,0.0001,,,0.61020932,,,MINAUSDT,10.731563779241323
2025-01-03 10:00:00+00:00,0.6207,0.6252,0.6168,0.6234,779041,,,,,,,,26.366381188284553
2025-01-03 11:00:00+00:00,0.6237,0.6336,0.6237,0.6327,1412390,,,,,,,,70.32331981970607
2025-01-03 12:00:00+00:00,0.6327,0.634,0.6296,0.6311,965903,,,,,,,,77.00264559641951
2025-01-03 13:00:00+00:00,0.6311,0.6341,0.6281,0.6305,837895,,,,,,,,72.26609396259666
2025-01-03 14:00:00+00:00,0.6305,0.6416,0.6305,0.6401,1583541,,,,,,,,109.68675554099258
2025-01-03 15:00:00+00:00,0.6401,0.6482,0.6379,0.6478,1321691,,,,,,,,152.51067261830286
2025-01-03 16:00:00+00:00,0.6477,0.6511,0.6454,0.6494,1555803,0.0001,,,0.6478,,,MINAUSDT,173.5916675999553
2025-01-03 17:00:00+00:00,0.6495,0.6524,0.6491,0.6504,767482,0.0001,,,0.6478,,,MINAUSDT,179.69414356014616
2025-01-03 18:00:00+00:00,0.6503,0.6528,0.6484,0.6502,1207134,,,,,,,,172.42061632351272
2025-01-03 19:00:00+00:00,0.6502,0.654,0.6502,0.6524,809209,,,,,,,,173.7150026593202
2025-01-03 20:00:00+00:00,0.6523,0.6537,0.6472,0.6517,975014,,,,,,,,157.57571680368048
2025-01-03 21:00:00+00:00,0.6519,0.6524,0.6487,0.6493,465965,,,,,,,,143.54419311043085
2025-01-03 22:00:00+00:00,0.6495,0.6529,0.649,0.6508,496154,,,,,,,,138.4720480559845
2025-01-03 23:00:00+00:00,0.6508,0.654,0.6492,0.6539,453439,,,,,,,,135.49944081464486
2025-01-04 00:00:00+00:00,0.6539,0.661,0.6471,0.6481,2780335,0.0001,,,0.65389216,,,MINAUSDT,123.56357197521098
2025-01-04 01:00:00+00:00,0.6481,0.6513,0.6432,0.6506,637160,0.0001,,,0.65389216,,,MINAUSDT,95.9469374578111
2025-01-04 02:00:00+00:00,0.6506,0.6566,0.6495,0.6559,544701,,,,,,,,114.61958592658425
2025-01-04 03:00:00+00:00,0.6562,0.658,0.6534,0.6568,302467,,,,,,,,112.93423539785319
2025-01-04 04:00:00+00:00,0.6567,0.6571,0.6491,0.6524,549226,,,,,,,,87.15961761297844
2025-01-04 05:00:00+00:00,0.6526,0.6549,0.6515,0.6543,311367,,,,,,,,81.53133467354323
2025-01-04 06:00:00+00:00,0.6543,0.6607,0.6543,0.6587,421998,,,,,,,,90.2982632560786
2025-01-04 07:00:00+00:00,0.6588,0.662,0.6564,0.6598,561307,,,,,,,,86.38340351803244
2025-01-04 08:00:00+00:00,0.6598,0.6603,0.6487,0.65,1255372,0.0001,,,0.6598,,,MINAUSDT,53.54237538825632
2025-01-04 09:00:00+00:00,0.65,0.6523,0.6487,0.6507,455207,0.0001,,,0.6598,,,MINAUSDT,38.91320995250445
2025-01-04 10:00:00+00:00,0.6508,0.6529,0.6437,0.6522,836988,,,,,,,,30.169309536592156
2025-01-04 11:00:00+00:00,0.6522,0.6532,0.6487,0.6525,1023755,,,,,,,,32.09496687654261
2025-01-04 12:00:00+00:00,0.6526,0.6609,0.6519,0.6602,1095500,,,,,,,,49.47983927308762
2025-01-04 13:00:00+00:00,0.6603,0.6654,0.6582,0.6644,973077,,,,,,,,60.68126874111563
2025-01-04 14:00:00+00:00,0.6644,0.6674,0.6606,0.6672,857278,,,,,,,,61.593152803308975
2025-01-04 15:00:00+00:00,0.6672,0.6691,0.6499,0.6522,2531806,,,,,,,,27.468779094031824
